Arabic Sentence,English Sentence
و رغم ان المكان كان بعيد و مرحتوش قبل كده الا انى صحيت بدرى و ركبت مواصلات و رحت المكان.,The competition was that you should take a photo for yourself with the logo of Barcelona and Etisalat and post it on social media like Facebook and Instagram with the hashtag #Play_Big.
المكان كان جميل و كله جناين و الهوا نقى.,And the photo which will get the most number of ‘likes’ wins a trip to Barcelona paid for by the company.
المكان هو حديقة الازهر و هو بقى مكان مشهور دلوقتى فى مصر.,The competition had 2 goals: the first one was for employees to make some good publicity and promotion for Etisalat.
انبسطت انى قبلت الناس و بدأنا تمرين.,And the second goal was for employees to feel more engaged and love the company.
طبعا كان معانا ناس مستواهم عالى و التمرينه كانت شديده.,Today was the last day of exams.
بس عجبنى ان الناس كلها كانت بتحمس بعضيها و تشجع بعض.,"""Of course, I was very happy that I’d finish my exams and have a vacation, and be able to do anything I wanted during the vacation, especially since the semester was so hard."""
و رغم ان انا كنت تعبان بس قدرت اكمل التمرين.,It was full of exams and lots of homework that was hard to complete.
اتصحبت على ناس كتير و اكيد هتقابل معاهم تانى علشان اتمرن.,"""After we had finished the exam, I took pictures with my friends for memory’s sake."""
و اكيد برضو هاكمل تمرين لوحدى علشان اعلى من مستوايا.,Then we played PlayStation with each other.
و الصراحه كان يوم من اجمل الايام اللى قضتها فى حياتى.,Then we sat around to make a plan for the day [lit.
رغم انى تانى يوم جسمى كان مكسر و مكنتش قادر اتحرك بس الواحد لازم يتعب علشان يلاقى.,we sat to agree on what we’ll do today].
يوم الاتنين اللى فات كان شم النسيم.,We agreed to go out to eat together and go for a walk or play after eating.
و رغم انه يوم اجازه و كان نفسى انام لوقت متأخر لكن سلمان ابنى الصغير معندوش الكلام ده.,"""But we decided we needed to rest first, so we went home and slept a bit."""
عينه مظبوطه ع المعاد اليومى للصحيان.,"""After that, I met my friends and we went to the [country] club, ordered food we like, We ate and drank juice, we took pictures and stayed at the club talking about what would we do during vacation."""
طبعاً لما بنصحى بتبتدى الدوشه.,"""There were some great ideas I heard from my friends that I’ll try to carry out, such as learning a new language or program."""
و بيصحى جوزى على صوتنا.,And someone wanted to travel to enjoy the weather in Alexandria or Sharm al-Sheikh.
قررت انى اسمحله فى اليوم ده يستمتع بشويه نوم زياده.,"""After that, we went for a walk along the Nile Corniche [waterfront park]."""
اول ما صحيت انا و الولاد، لبسنا و نزلنا.,"""The weather was so beautiful that we walked a lot, and time passed quickly."""
مكانش فى دماغى اى خطه للخروجه، لكن كنت نازله اضيع وقت.,It just flew by for me with my friends.
ركبنا العربيه لقيتها محتاجه بنزين.,I really enjoyed the day.
بدأنا باول خطوه.,My friends and I agreed that we should meet over the vacation.
رحت على اقرب ماكنة سحب فلوس، و بعدها ملينا بنزين.,Then I went home.
جنب البنزينه، محل السندوتشات اللى بيحبه حمزه ابنى.,I was so tired after a really nice day.
و ماله؟,I changed my clothes and went to bed.
دخلنا خدنا سندوتشات طعميه.,But I was very happy because I had finished exams and vacation had begun.
كان ع الترابيزه اللى جنبنا اتنين اجانب.,I decided to do something different now.
بما ان المحل قدام الهرم، اتوقعت انهم رايحين يزوروه.,"""I like playing sports, and I heard about a new exercise called Street Workout."""
و هنا جتلى الفكره.,"""And I started to do it, and it started to firm me up, and I started to love it."""
يلا يا ولاد، عاملالكو مفاجأه.,It was so nice to find people in Egypt practicing the same sport.
ودخلنا على الاهرامات.,And their goal was to spread this sport so they organized a day for people to meet and work out together.
حمزه انبهر.,It was a Friday and I had just finished my high school.
رغم اننا ساكنين جنب الهرم و بنشوفه من العربيه دايما، لكن رؤيته عن قرب مبهره جدا.,the school week finishes on Thursday] so I was so excited to see people love the same sport and practice it.
كان عايز يدخله بس انا اقنعته يأجل الموضوع ده للزياره الجايه.,"""Even though the place was far away and I had never been there before, I got up early and I took some public transportation and I went there."""
دخول الهرم تجربه شيقه بس مرهقه.,"""The place was beautiful, with lots of gardens and the air was clear."""
انا جربتها قبل كده.,"""The place was Al-Azhar Park, which has become a famous place in Egypt now."""
اخدته على متحف مركب خوفو.,I was happy to meet the people and we started the workout.
دى بقى عجبته جدا.,"""Of course, there were some people at an advanced level, and the exercise was tough."""
المتحف بيديك متعه الفضول و الترقب و التشويق.,But I like that everyone was encouraging and motivating each other.
الاول بتشوف الحفره اللى كان فيها المركب.,"""Although I was tired, I was able to complete the workout."""
و بعدين تطلع بالتدريج لحد ما يظهر لك المركب بالحجم الطبيعى فى مشهد مهيب و مذهل.,"""I made a lot of friends, and I’m sure we’ll meet again to work out together."""
كانت تجربه مبهره جدا للاولاد و ليا رغم انى دخلته قبل كده.,And I’ll definitely continue to practice on my own to increase my level.
لكن كل مره بيمتعنى.,"""To be honest, it was one of the best days of my life."""
مطولناش.,"""Even though the next day my body was exhausted and I couldn’t move, “no pain no gain."""
كانت زياره سريعه.,"""And although it was a holiday and I wanted to sleep in, my little son Salman didn’t have the same idea."""
و وعدت الاولاد اننا نكررها قريب.,His eyes open at the same time every day.
خرجنا و رحنا نشرب عصير.,"""Of course, once we wake up, the noise begins."""
و فى طريقنا للبيت، حمزه كان بيقولى هنلاقى بابا صحى.,"""And this wakes my husband, too."""
و انا بقوله هيكون نايم.,I decided to give him the opportunity to sleep more that day.
اول ما وصلنا تحت البيت حمزه قعد ينادى: يا بابا اصحى يا بابا.,"""As soon as we woke up, we got dressed and went out."""
طبعا طلعنا و كان لسه نايم.,"""I didn’t have a plan for the outing, rather I was just going out to kill time."""
لما صحى بيقولنا: انتو صاحيين من بدرى؟,We got into the car and found it in need of fuel.
قعدنا نضحك.,So we started with the first step.
احنا عملنا مغامرات و رحنا الاهرامات.,I went to the nearest ATM.
طبعا كانت رحله لطيفه جدا و مفاجاه.,Then I got some gas.
و ان شاء الله نكررها.,Beside the gas station is the sandwich shop that my son Hamza likes.
النهارده كان يوم جميل علشان انا و اختى الصغيره نزلنا نتفسح.,Why not?
النهارده كان اجازه فا انا على طول استغليت الفرصه و رحت فاجئت اختى و قلتلها: يلا بينا نخرج نتفسح.,We went in and got falafel sandwiches.
هى اول لما سمعت الكلمه السعاده بانت على وشها و ردت عليا بكل حماس :”ماشى انا موافقه”.,At the table beside us was a foreign couple.
اتفقنا انا و هى على التفاصيل بتاعة الفسحه دى و قررنا اننا نروح الجنينه اللى فى الحى بتاعنا.,"""And as the shop is in front of the Pyramids, I expected they were going to visit it."""
جهزنا كل حاجه انا و اختى.,I then got an Idea.
لبسنا و جهزنا شنطه فيها ازازة مايه و ازازة عصير مانجا و شوية سندوتشات و كوبايتين فاضيين و شوية فلوس و علبة مناديل.,"""“Come on, kids."""
بعد كده اتمشينا لحد الجنينه.,I have a surprise.
و لما وصلنا دفعنا رسوم الدخول مكانتش غاليه، كانت عباره عن جنيه واحد للفرد.,” And we went to the Pyramids.
دخلنا بقى الجنينه و اخترنا مكان كويس نقعد فيه.,Hamza was amazed.
الجنينه كان فيها شجر عالى و ورد الوانه جميله.,"""Although we live beside the Pyramid and we always see it from the car, seeing it up close is really amazing."""
كان فيه ورد ابيض و ورد احمر و ورد بمبى و ورد اصفر," و الالوان دى كانت عامله منظر تحفه و مخليه الجنينه شكلها حلو اوى.,""He wanted to go inside [the pyramid], but I convinced him to postpone this until the next trip."""
طبعا اختى الصغيره كانت مبهوره بالورد جدا، حتى من قبل ما ندخل الجنينه.,"""Going inside the pyramid is an exciting experience, but it’s so exhausting."""
فضلنا قاعدين حوالى تلات ساعات.,I’ve tried it before.
و بعدين سبنا الجنينه و مشينا.,I took him to the Khufu boat museum.
و فى السكه للبيت اشترينا جيلاتى لينا احنا الاتنين.,And he liked it a lot.
هى اختارت طعم المانجه و الفانيليا و انا اخترت طعم الفراوله و الشيكولاته.,The museum gives you the joy of curiosity and anticipation and suspense.
انا اتبسطت اوى النهارده علشان كنت سبب فى سعادة اختى الصغيره.,"""First, you see the hole where the boat was first discovered Then you gradually go up to where the boat starts to appear to you in its true scale in the majestic, marvelous scenery."""
بجد كانت فرحانه و متحمسه جدا.,"""It was an amazing experience for the kids and for me, even though I’ve seen it before."""
اما انا فا كنت فرحانه و متحمسه اكتر منها بكتير.,But it gives me pleasure every time.
بعد ما رمضان خلص و الواحد زعلان انه خلص، العيد بدأ و الواحد سعيد جدا بالعيد.,We didn’t stay for long.
اتفقت مع اصحابى اننا هنعقد مع بعض من يوم الوقفة من بعد الفطار لحد صلاة العيد.,It was a quick visit.
بعد الفطار اللى محدش كل حاجة علشان خلاص بقى مفيش صيام تانى قابلت اصحابى.,And I promised the kids we’d do it again soon.
و قعدنا على قهوه.,We exited and went to drink some juice.
قعدنا طلبنا اللى عاوزينه.,"""On the way home, Hamza was telling me we’d find dad awake."""
و قعدنا نتكلم هنعمل ايه.,And I told him we’d find him still sleeping.
خلصنا كلام بس كنا جعانين.,"""When we arrived in front of our building, Hamza started shouting, “Dad!"""
رحنا اكلنا و كان المحل زحمه جدا.,Wake up!
استنينا شوية عقبال لما مكان يبقى فاضى.,"""” Of course, when we went inside we found him still sleeping."""
اكلنا و بعد كده رحنا وسط البلد.,"""When he woke up he said, “Did you get up early?"""
المكان كان زحمه جدا مليان بالناس.,” We laughed.
الناس بتحفل بالعيد.,We had some adventures and went to the Pyramids.
فيه ناس بتفسح و تروح سينما و فيه ناس بيشترى لبس العيد.,"""It sure was a nice, surprising trip."""
احنا كنا بنتفرج على المحلات.,"""And God willing, we’ll do it again."""
كان فيه اطفال بيحتفلوا بالبلالين و البمب و الصواريخ و مسدسات اللعبة.,Today was a great day because my younger sister and I had a picnic.
اتمشينا.,"""It’s a holiday today, so I took the opportunity and surprised my sister and said to her, “Let’s go on a picnic."""
بعد كده قلنا كل واحد يروح البيت يستريح شوية و نتقابل فى الجامع عشان نصلى الفجر مع بعض.,"""” As soon as she heard my words, happiness was clear on her face, and she answered me enthusiastically, “Okay, I’m in."""
روحت البيت و استحميت و كلت الكحك و البسكويت و ريحت على السرير شويه.,"""” She and I agreed on the details of this picnic, and we decided to go to the park in our neighborhood."""
بعد كده نزلت اصلى الفجر.,My sister and I prepared everything.
و قابلت اصحابى.,"""We got dressed and prepared a bag with a bottle of water, a bottle of mango juice, some sandwiches, two empty cups, some money and a pack of tissues [napkins]."""
و كان فيه ناس بقالى كتير مشفتهاش قابلتها.,"""After that, we walked to the park."""
و قاعدنا نتكلم مع بعض من بعد نهاية الفجر لحد صلاة العيد.,"""When we arrived, we paid the entry charge."""
الواحد محسش بالوقت خالص.,It wasn’t expensive–just one Egyptian pound for each person.
رحنا صلينا العيد.,We entered the park and chose a good place to sit down.
و كانت الساحه مليانه بالمصلين.,There are tall trees in the park and flowers with beautiful colors.
و المكان جميل جدا.,"""There were white flowers, red flowers, pink flowers, and yellow flowers."""
و البلالين الملونة اللى ماسكينها الاطفال و بيجروا فى المكان.,"""And these colors made for a great view, and they made the park look very beautiful."""
و فى وشهم السعادة والفرحة علشان العيد.,"""Of course, my little sister was very amazed by the flowers, even before we entered the park."""
صلينا العيد و روحنا لعبنا بلاى ستيشن و بنج بونج.,We stayed for about three hours.
بعد كده كنا تعبانين علشان منمناش غير ساعه تقريبا.,"""After that, we left the park."""
روحت و نمت.,On our way home we bought some ice cream for the two of us.
و كان يوم جميل جدا.,"""She chose mango and vanilla, and I chose strawberry and chocolate."""
اهلا بيكم.,I was very happy today because I was a reason for the happiness of my little sister.
خلصنا جولتنا فى الاقصر، و ركبنا المركب فى اتجاه اسوان.,"""Honestly, she was really happy and very excited."""
لما دخلنا الكابينه بتاعتنا و فتحنا الشبابيك منظر شط النيل و السفينه بتشق الميه.,But I was much happier and more excited than her.
كأنك فى فيلم بس الهوا و الميه بيلمسوا وشك و انت بتتفرج.,"""After Ramadan is finished, and I was sad because it ended, Eid began, and I was very happy for Eid."""
احساس جميل جدا… كان اول مره اجربه.,My friends and I agreed to get together on the waqfa [eve of Eid] from breaking fast until Eid prayers.
تانى يوم الصبح وقفت السفينه عشان نزور معبدين فى الطريق.,"""After breaking fast, which no one eats because there is no fasting after that, I met my friends."""
دايما كنت بحب اسمع شرح المرشدين و اعرف قصة كل معبد و معانى النقوش اللى عليه.,We sat in a coffee shop.
لكن المره دى الولاد كان ليهم رأى تانى و عشان منزعجش باقى المجموعه، اقنعتهم يمسكوا ايدى و نروح نكتشف المكان بنفسنا.,We sat down and ordered what we wanted.
الحقيقه اكتشفت ان ده شىء ممتع جدا و خلانى اشوف حاجات اول مره اشوفها و امر فى حتت مدخلتهاش قبل كده.,Then we discussed what to do.
خلصنا جولتنا و رجعنا السفينه عشان نوصل اسوان، ارض السحر و الجمال.,"""We finished talking, but we were hungry."""
احساسى لما وصلنا مش عارفه اوصفه.,"""We went to eat, and the shop was very crowded."""
بس هقدر اقولكو انى ما زلت بدور على طريقه اعيش بيها هناك بصفه دايمه.,We waited a bit until there was were empty seats.
فى اسوان ركبنا فلوكه، شفنا التماسيح، و رسمت حنه على ايدى و شربنا عصير قصب.,"""We ate, and after that, we went downtown."""
ده غير طبعا زرنا السد العالى و المتاحف و المعابد.,It was so crowded there with people.
بالليل ع السفينه حضرنا جلابيه بارتى.,People were celebrating Eid.
و لبست فيها التوب السودانى بتاعى.,"""There were people strolling around, going to the movies, and people buying clothes for Eid."""
و سهرنا نلعب كوتشينه، و بعدين فى الفجر شفنا السفينه و هى بتعدى الهويس.,We were window shopping.
وصلنا الاقصر تانى عشان نزور اكبر معبد مصرى قديم معبد الكرنك.,"""There were kids celebrating with balloons, firecrackers, fireworks, and toy guns."""
سياسة التجول بحريه انا و الولاد اسفرت عن اننا اكتشفنا بير قديم ورا البحيره المقدسه و كنا لسه مكملين لولا ان واحد من الحراس نصحنا نرجع بدل ما نتوه.,Then we walked around.
بالليل رحنا تانى نفس المكان عشان نشوف الصوت والضوء.,"""After that and we agreed that we should all go home and rest up, and meet in the mosque to perform the dawn prayer together."""
المكان بالليل مهيب جدا ومخيف شويه.,"""I went home, took a shower, ate kahk and cookies, and took a rest on my bed."""
المره الجايه نفسى يكون معانا وقت اكتر نلف فى المدينه و عايزه نركب منطاد فى الاقصر.,Then I went to perform the dawn prayer.
وعايزه كمان اروح ابوسمبل و اشوف الصوت والضوء هناك.,and meet my friends.
الرحله كانت تحفه.,There were people that I hadn’t seen in a long time that I met.
و بعدها الولاد بقوا يلاحظوا مفتاح الحياه مرسوم كتير حوالينا.,And we talked from dawn until the Eid prayer.
اظن هنحتاج رحله تانيه قريب نكمل مغامراتنا فيها.,Time flew by.
اشوفكو قريب!,Then we went to pray the Eid prayer.
السلام عليكم، يا صحابى!,The place with so crowded with people praying.
عاملين ايه؟,It was very beautiful there.
يارب تكونوا كويسين.,There were colorful balloons that children were holding and running with there.
النهارده عايز احكيلكم عن يوم جميل عشته مع اصغر عضوه معانا فى البيت.,And on their faces was happiness because of the holiday.
احنا عيله تقدر تقول علينا عددها مش كبير انا و اخويا و اختى و والدى و والدتى.,"""We prayed Eid, then went and played PlayStation and ping pong."""
اخويا اجوز من سنتين.,"""After that, we were tired we had only slept an hour."""
و خلف حد لذيذ و عسول و هى بنته حبيبه.,I went back home and went to sleep.
النهارده عيد ميلاد حبيبه.,It was a really great day.
و دى مناسبه مينفعش انى افوتها او اعديها كده بالساهل من غير ما احكيلكم عليها.,Hello!
حبيبه عمرها دلوقتى سنتين.,"""We finished our tour in Luxor, and the ship headed toward Aswan."""
يااااه السنين عدت بسرعه.,"""When we went inside our cabin and opened the windows, we saw the bank of the Nile and the ship cutting through the water."""
انا لسه فاكر يوم ما اتولدت.,"""It was as if you were in a movie, but the air and water are touching your face while you are watching."""
كنت شغال فى القاهره و اتصلت عليا اختى و بلغتنى بالخبر.,A very lovely feeling–the first time I tried it.
كنت طاير وقتها من الفرح لانها كانت اول عيل صغير نشوفه فى عيلتنا الصغيره.,"""The second morning, the ship stopped so we could visit two temples on the way."""
حبيبه دلوقتى بدأت تنطق شوية كلام زى بابا، ماما، عمو، تيته.,I always liked listening to the tour guides and knowing the story of each temple and the meaning of the engravings on it.
و دلوقتى كمان بتنطق اول حرف بس من اسم عمتها.,"""But this time the kids had another idea, and as not to disturb the rest of the group, I convinced them to hold my hands and go to explore the place ourselves."""
عمتها اسمها زهراء لكن حبيبه مسمياها “زا”.,"""Actually, I discovered that this was so exciting."""
يوم عيد ميلاد حبيبه فكرت اجيبلها هديه محصلتش، بس كنت محتار لانه سنها صغير والحاجات اللى تعرفها قليله اوى.,"""It let me see things I hadn’t seen before, go through places I hadn’t gone into before."""
فكرت كتير اجيبلها ايه؟,"""We finished our tour and went back to the ship to get to Aswan, the land of magic and beauty."""
ايه؟,I can’t describe my feeling when we reached it.
و بعدين لقيت نفسى بشتريها شويه بلايين.,But I can tell you that I’m still looking for a way to live there permanently.
خصوصا انى كنت شايف انها بدات تسحف و تتحرك فى البيت.,"""In Aswan we took a small boat, saw alligators, I had henna drawn on my hand, and we drank sugarcane juice."""
و كنت حابب اجيبلها حاجه ملفته و مسليه زى البلالاين.,"""And of course, we visited Aswan dam, museums, and temples."""
بالليل حضرنا حفلة عيد ميلاد حبيبه اللى كانت بتبصلنا باستغراب احنا و بنحتفل بعيد ميلادها، تحس انها كانت عايزه تسألنا انتو بتعملوا ايه؟,"""At night on the ship, we had a galabiya party, where I wore my Sudanese toob."""
ابوها عبدالله جابلها هديه فستان صغنون على قدها.,"""We played cards all night, and at dawn we watched the ship go through the locks."""
و مامتها جابتلها فيونكة شعر اطفال لانه شعرها كان بدأ يطول.,"""We reached Luxor again to visit the largest ancient Egyptian temple, the temple of Karnak."""
اما انا فاديتها البالونات اللى جبتها و نفخت منهم واحده.,"""The free wandering policy allowed me and the kids to discover an ancient well behind the sacred lake, and we were going on, but a guard advised us to go back before we got lost."""
بصت حبيبه للبالونه باستغراب اوى لدرجه خلتنى ضحكت من نظرتها، و بعدين خدتها فى ايديها و بصوابعها الصغيره بدأت تحركها.,At night we went there again to watch the sound and light.
بحب براءة الاطفال اوى بحسهم حد نقى و جميل.,The place was so majestic at night and a little bit scary.
احيانا كتير اوى بسأل نفسى يا ترى حبيبه لما تكبر ممكن تفتكر اللحظات الحلوه دى؟,"""Next time I’d like to have more time to wander in the city and I want to take a hot balloon in Luxor, and I also want to go to Abu Simbel to see the sound and light [show] there."""
و كمان تفضل بنفس البراءه دى؟,The trip was amazing.
اتمنى طبعا.,And the kids came to notice The Key Of Life more and more around us.
اسيبكم دلوقتى عشان الحق اكل حته تورته و كوباية عصير من يد حبيبه.,I guess we’ll need another trip soon to continue our adventures.
اسكنرية.,See you soon!
عروس البحر المتوسط اللي اغلب المصريين بيعشقوها، انا بقى مش بحبها.,"""Hello, my friends!"""
بجد والله، رحتها كذا مره وعمري ما قدرت احبها، بس الجمعه اللي فاتت صحينا بدري و قلنا يلا نروحها، تغيير جو يعني.,How are you?
وصلنا ع الضهر وطلعنا اوضتنا ع البحر.,I hope you’re well.
بهرني المنظر من فوق.,"""Today, I want to tell you about a nice day I had with the youngest member of our household."""
البحر والسما ونضافة وروقان الكورنيش.,"""We are not what you can call a big family: Me, my brother, my sister, my father, and my mother."""
ايه الجمال ده!,My brother got married two years ago.
الجو كان حلو مش برد فخدنا الولاد ينزلوا البحر.,"""He had a cute, nice baby named Habiba."""
القعده كانت جميله، قعدنا لحد المغرب و شفنا غروب الشمس في البحر.,Today is Habiba’s birthday.
رجعنا على اوضتنا ونمنا بدري من التعب.,I cannot pass this occasion without telling you about it.
الصبح صحينا الفجر، فتحنا البلكونه على منظر يجنن.,Now Habiba is two years old.
انا صورتهولكو.,"""Oh, the years have flown by."""
قعدنا نشرب الشاي.,I still remember the day she was born.
و لاحظنا ان الاسكندرانيه تحت بيتمشوا ع الكورنيش.,"""I was working in Cairo, and my sister called me and told me the news."""
قلنا يلا نشاط ع الصبح، ننزل احنا كمان.,I was full of joy because she was the first baby in our small family.
نزلنا اتمشينا و اتفرجنا على شباب واقفين بيصطادوا.,"""Habiba has now started pronouncing some words like dad, mom, uncle, and grandma."""
تابعناهم لحد ما طلعوا و لاقيناهم عرضوا السمك بتاعهم للبيع.,"""And now, she’s started pronouncing the first letter of her aunt’s name."""
انا فرحت اوي.,"""Her aunt’s name is Zahraa, but Habiba calls her “Za”."""
كان نفسي من زمان اكل سمك لسه طالع م الميه.,"""On Habiba’s birthday, I thought about getting her a memorable gift, but I was just confused because she’s a baby and knows very few [things]."""
خدنا منهم ورحنا وديناه يتشوي.,I thought a long time about what I can get her.
وخدنا بعضنا ورحنا نزور متحف المجوهرات الملكيه.,What?
وبعديه طلعنا على مكتبة اسكندرية، وحضرنا عرض في القبه السماويه هناك.,What?
بصراحه المكانين كانوا ممتعين جدا.,And then I ended up buying her balloons.
بعد كده ختمنا باكلة السمك، مش هكلمكو بقى على جمالها.,Especially because I saw that she had started to crawl and move around the house.
بصراحه انا بعد الزياره دي اكتشفت اني بقيت من العشاق.,and I wanted to get her something striking and entertaining like balloons.
مكنتش مصدق اللي بيتقال عن مجمَّع التحرير من كلام الناس والأفلام.,"""At night, we attended Habiba’s birthday party."""
كنت فاكرهم بيبالغوا، لحد ما في يوم اضطريت اروح اطلَّع ورقة.,And she looked at us in amazement as we celebrated her birthday.
أول مرة كنت رايح الساعة ١٢ الضهر وكانت الامور عادية جدًا.,"""You could tell she wanted to ask us, “What are you doing?"""
بس عرفت لما سألت اني كان لازم اروح من الساعة ٦ قبل معاد شغل الموظفين.,"""” Her father, Abdullah, gave her a small dress in her size."""
وأقف في طابور عشان آخد الاستمارة اللي هطلَّع بيها الورقة.,And her mom gave her a children’s hair bow because her hair has started to get long.
اتضايقت جدًا لما عرفت ده لأن المجمَّع في القاهرة، وأنا من محافظة تانية فبسافر مدة طويلة عشان اوصلٌه.,But I gave her balloons and blew one of them up.
تاني مرَّة، رحت بدري جدًا السَّاعة ٥ الصٌبح، ورغم ده مكنتش أول واحد موجود في المجمَّع، ولقيت ناس بايتين هناك.,Habiba looked at the balloons with such astonishment that she made me laugh from her looks.
وقفنا في طابور كبير جدًا لحد ما المجمَّع فتح السَّاعة ٩.,Then she holed it in her hands and began to move it through small fingers.
كنت فاكر انَّي لمَّا أدخل كل حاجة هتبقى سهلة، بس عرفت لمَّا دخلت اني هقف في طابور تاني كبير للاسانسير، وبعده طابور للقسم اللي رايحله.,"""I like the innocence of children, I think they’re pure and beautiful creatures."""
كلمة طابور بتوحي ان الامور منظَّمة، لكن الطَّابور المصري مختلف، ملهوش شكل ثابت ومحتاج خبرة في التَّعامل معاه.,I’ve often wondered if Habiba will remember these wonderful moments when she grows up?
بعد معاناة لأكتر من ٦ ساعات لأن المكان كان زحمة جدًا، خرجت ومعايا الورقة اللي كنت عايزها.,And will she also keep this innocence?
المُضحك أنّي في خلال ال٦ ساعات المملين دول، اتعرَّفت على ناس من محافظات مختلفة ولمَّا خرجنا مع بعض، احتفلنا لأننا كنَّا حاسين أنَّنا عملنا إنجاز.,"""I hope so, of course."""
من فرحتي وأنا خارج مبصيتش في الورقة وخدتها وجريت، وبعد ما روَّحت، اكتشفت أن اسمي مكتوب عليها غلط، قعدت اضحك بشكل هستيري.,Allow me now to eat a piece of cake and drink a cup of juice from Habiba’s hands.
طبعًا رحت تاني والمرة دي اتأكدت أن كل حاجة صح لأن زى ما المثل بيقول: “محدِّش بيتلسع من الشوربة مرتين”.,Alexandria.
أتمني أنِّي مضطرِّش اروح المكان ده تاني خالص.,"""the Bride of the Mediterranean, which most Egyptians love."""
من اكتر الأماكن اللي كان نفسي ازورها النوبة او بلاد الدهب زي ما بيقولوا عليها… معرفش ايه سر حبي وفضولي الكبير للتعرف على البلد دي وثقافتها… يمكن عشان واحنا صغيرين اتربينا على شخصية بكار… او يمكن عشان طول عمرنا بنسمع ان اهل النوبة ناس طيبين… الأسباب كتير بس في الآخر قدرت ازور المكان ده … ومن اول ما وصلت وانا كل حاجة مستغرباها وحاباها في نفس الوقت… من اول البساطة اللي في كل حاجة… للغة النوبية الغريبة اللي مش فاهمة منها غير كام كلمة شبه العربي واللي دايما بيتكلموا بيها مع بعض لكن معانا يتكلموا باللهجة المصرية العادية….,"""But as for me, I don’t like it."""
الجمال والبساطة في كل حاجة هناك من اول الطواجن اللي بياكلوا فيها… للألعاب اللي الاطفال بيلعبوا بيها وبيعملوها من الطبيعة حواليهم لبساطة بيوتهم من جوة والوانها من برة واشكال المثلثات اللي مزخرفة كل حتة… حالة من البساطة والروقان مش هيحس بيها غير اللي راح وشاف الناس دي في صفاء ونقاء وجمال قد ايه… لدرجة تخلي ست تطلع على الجبل الصبح تسوي الرملة على الارض لمدة ساعة واكتر!,"""Really, I had gone there several times before, but I never could like it."""
برغم كدة في حاجات خلتني احس بغموض ورهبة وخوف… النوبة الصبح كلها الوان وبساطة وحيوية وانبساط لكن بالليل حسيت بخوف شوية… ومن اكتر الحاجات اللي رعبتني هناك التماسيح!,"""But last Friday, we woke up early and decided to go there for a change of scene."""
التماسيح جزء اصيل من ثقافتهم لدرجة ان الاطفال بيلعبوا بالتماسيح الصغيرة!,We arrived around noon and went up to our [hotel] room overlooking the sea.
وبيوت كتير في النوبة فيها تماسيح حية جوة قفص حديد طبعا… في واحدة من البيوت دي قلت اطلع على السطوح عشان ابص على المنظر من فوق وبلف بعيني كإني باخد صورة بانورامية لقيت تمساح طوله مترين جمبي على السور في اخر اللفة الـ 180 درجة دي!,The view was amazing.
طبعا اترعبت ونزلت جري رغم ان بعد ثواني من التفكير اكتشفت انه متحنط… بعدها بقيت بشوفه متعلق على ابواب البيوت وابتديت اتعود على الفكرة.,"""The sea, the sky, and the cleanness and quietness of the Corniche."""
يوم الاربع اللى فات كان يوم مهم جدا بالنسبه لى.,What beauty!
كان مناقشة ماجستير واحده من اعز اصدقائى وصحاب عمري.,"""The weather was beautiful, not cold, so we took the kids to swim."""
كان لازم اصحى من بدرى عشان الحق اكون معاها من قبل ما تبدا.,The place was so lovely that we stayed until sunset.
تفاصيل اليوم ده اكيد بتبقى مهمه جدا للشخص اللى هيتم مناقشته… حاجه كده شبه تحضيرات لما يكون فيه فرح او خطوبه.,"""We went back, and we were so tired, so we went to bed early."""
زى اى مناسبه اول ما بتبدأ كله بيحاول يصور.,"""The next day, we woke up at dawn, opened the balcony to see a fascinating view."""
و بيبقى فى مواقف كتير على جنب و توتر مع بداية الحدث.,I took a picture for you.
على قد ما كان فى حاجات كتير كوميديه على قد ما كانت حاجه مؤثره وج ميله جدا.,We had tea.
و مش هنساها و هى بتقدم فى المقدمه لما اتاثرِت وعيطِت و هى بتشكر اهلها على دعمهم.,And then we noticed the Alexandrians walking along the Corniche.
من المعروف ان اليوم ده لازم صاحب الرساله يسمع انتقادات كتير بس فى الآخر بيبقى معروف انه كده كده ما دام وصل للمنصه يبقى اكيد هياخد الدرجه فى الآخر.,"""We said, “Come on, some activity in the morning!"""
الا انه لما الدكاتره قاموا وقفوا فى الآخر بعد ٣ ساعات من الانتقادات والتعليقات على الرساله حسينا كده بنفس احساس العد التنازلى و وكإنّنا بنستنى لحظه النطق بالحكم.,"""” We went down to have a walk, and we watched some guys catching fish."""
بعد ٣ ساعات من كلام فى تخصص اغلب الحاضرين مش فاهمين منه حاجه و مستنيين اللقطه الاخيره دي… اخيرًا جت اللحظه اللى كلنا كنا مستنيينها… ووقفت لجنه التحكيم و وقفنا كلنا عشان نسمع النتيجه… و صاحبتى اخدت الدرجه و باباها بدأ يدمع… و احنا كلنا الفرحه مش سايعانا و احنا بنسقف.,Then they offered their catch for sale.
و رغم كل التعب و القلق و التوتر على مدار السنين دى كلها الا ان فرحه النجاح او الوصول لهدف واتمامه فرحه ليها طعم تانى كده.,I was so happy.
